cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
hair disease,,704,Diseases of hair and hair follicles,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
alopecia drug-induced,,704,Diseases of hair and hair follicles,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
folliculitis,,704,Diseases of hair and hair follicles,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
alopecia areata,,704,Diseases of hair and hair follicles,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
hidradenitis,,705,Disorders of sweat glands,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
hidradenitis suppurativa,,705,Disorders of sweat glands,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
acne,,706,Diseases of sebaceous glands,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
sebaceous gland disease,,706,Diseases of sebaceous glands,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
acne vulgaris,,706,Diseases of sebaceous glands,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
skin ulcer,,707,Chronic ulcer of skin,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
foot ulcer,,707,Chronic ulcer of skin,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
decubitus ulcer,,707,Chronic ulcer of skin,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
leg ulcer,,707,Chronic ulcer of skin,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
urticaria,,708,Urticaria,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
pigment disorder,,709,Other disorders of skin and subcutaneous tissue,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
erythematosquamous skin disease,,709,Other disorders of skin and subcutaneous tissue,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
granulomatosis,,709,Other disorders of skin and subcutaneous tissue,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
papular skin disease,,709,Other disorders of skin and subcutaneous tissue,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
hyperpigmentation,,709,Other disorders of skin and subcutaneous tissue,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
melasma,,709,Other disorders of skin and subcutaneous tissue,Other Diseases Of Skin And Subcutaneous Tissue,Diseases Of The Skin And Subcutaneous Tissue
systemic lupus erythematosus,,710,Diffuse diseases of connective tissue,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
topical anesthesia,,710,Diffuse diseases of connective tissue,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
collagen disease,,710,Diffuse diseases of connective tissue,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
connective tissue disease,,710,Diffuse diseases of connective tissue,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
sjoegrens syndrome,,710,Diffuse diseases of connective tissue,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
dermatomyositis,,710,Diffuse diseases of connective tissue,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
polymyositis,,710,Diffuse diseases of connective tissue,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
infectious arthritis,,711,Arthropathy associated with infections,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
chondrocalcinosis,,712,Crystal arthropathies,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
respiratory disorder,,713,Arthropathy associated with other disorders classified elsewhere,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
arthritis,,714,Rheumatoid arthritis and other inflammatory polyarthropathies,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
rheumatoid arthritis,,714,Rheumatoid arthritis and other inflammatory polyarthropathies,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
juvenile rheumatoid arthritis,,714,Rheumatoid arthritis and other inflammatory polyarthropathies,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
osteoarthritis,,715,Osteoarthrosis and allied disorders,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
joint disease,,715,Osteoarthrosis and allied disorders,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
joint infection,,715,Osteoarthrosis and allied disorders,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
contracture,,718,Other derangement of joint,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
pigmented villonodular synovitis,,719,Other and unspecified disorders of joint,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
joint injury,,719,Other and unspecified disorders of joint,Arthropathies And Related Disorders,Diseases Of The Musculoskeletal System And Connective Tissue
ankylosing spondylitis,,720,Ankylosing spondylitis and other inflammatory spondylopathies,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
spondylarthritis,,721,Spondylosis and allied disorders,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
degeneration,,722,Intervertebral disc disorders,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
intervertebral disc disease,,722,Intervertebral disc disorders,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
degenerative disc disease,,722,Intervertebral disc disorders,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
torticollis,,723,Other disorders of cervical region,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
sciatica,,724,Other and unspecified disorders of back,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
spinal stenosis,,724,Other and unspecified disorders of back,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
back pain,,724,Other and unspecified disorders of back,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
lower back pain,,724,Other and unspecified disorders of back,Dorsopathies,Diseases Of The Musculoskeletal System And Connective Tissue
periarthritis,,726,Peripheral enthesopathies and allied syndromes,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
tendinitis,,726,Peripheral enthesopathies and allied syndromes,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
epicondylitis,,726,Peripheral enthesopathies and allied syndromes,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
lateral epicondylitis,,726,Peripheral enthesopathies and allied syndromes,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
adhesive capsulitis,,726,Peripheral enthesopathies and allied syndromes,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
bursitis,,727,"Other disorders of synovium, tendon, and bursa","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
synovitis,,727,"Other disorders of synovium, tendon, and bursa","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
tenosynovitis,,727,"Other disorders of synovium, tendon, and bursa","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
tendon injury,,727,"Other disorders of synovium, tendon, and bursa","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
muscle spasm,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
muscle wasting disease,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
muscle weakness,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
spinal muscular atrophy,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
muscle disease,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
calcification,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
myositis,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
dupuytren contracture,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
heterotopic ossification,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
muscle injury,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
sarcopenia,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
fibrodysplasia ossificans progressiva,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
aggressive fibromatosis,,728,"Disorders of muscle, ligament, and fascia","Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
musculoskeletal system inflammation,,729,Other disorders of soft tissues,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
myalgia,,729,Other disorders of soft tissues,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
musculoskeletal pain,,729,Other disorders of soft tissues,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
fibromyalgia,,729,Other disorders of soft tissues,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
hematoma,,729,Other disorders of soft tissues,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
neuritis,,729,Other disorders of soft tissues,"Rheumatism, Excluding The Back",Diseases Of The Musculoskeletal System And Connective Tissue
bone and joint infection,,730,"Osteomyelitis, periostitis, and other infections involving bone","Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
bone injury,,730,"Osteomyelitis, periostitis, and other infections involving bone","Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
osteomyelitis,,730,"Osteomyelitis, periostitis, and other infections involving bone","Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
osteitis,,731,Osteitis deformans and osteopathies associated with other disorders classified elsewhere,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
pagets bone disease,,731,Osteitis deformans and osteopathies associated with other disorders classified elsewhere,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
bone disease,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
osteoporosis,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
metabolic bone disease,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
cartilage disease,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
polychondritis,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
male osteoporosis,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
postmenopausal osteoporosis,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
ostealgia,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
osteonecrosis,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
osteopenia,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
bone cyst,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
bone resorption,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
bone infection,,733,Other disorders of bone and cartilage,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
weight gain,,738,Other acquired deformity,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities",Diseases Of The Musculoskeletal System And Connective Tissue
genetic disorder,,740,Anencephalus and similar anomalies,Congenital Anomalies,Congenital Anomalies
spina bifida,,741,Spina bifida,Congenital Anomalies,Congenital Anomalies
brain malformation,,742,Other congenital anomalies of nervous system,Congenital Anomalies,Congenital Anomalies
eisenmenger syndrome,,745,Bulbus cordis anomalies and anomalies of cardiac septal closure,Congenital Anomalies,Congenital Anomalies
tetralogy of fallot,,745,Bulbus cordis anomalies and anomalies of cardiac septal closure,Congenital Anomalies,Congenital Anomalies
congenital heart defect,,746,Other congenital anomalies of heart,Congenital Anomalies,Congenital Anomalies
aortic valve stenosis,,746,Other congenital anomalies of heart,Congenital Anomalies,Congenital Anomalies
arteriovenous malformation,,747,Other congenital anomalies of circulatory system,Congenital Anomalies,Congenital Anomalies
patent ductus arteriosus,,747,Other congenital anomalies of circulatory system,Congenital Anomalies,Congenital Anomalies
anal dysplasia,,751,Other congenital anomalies of digestive system,Congenital Anomalies,Congenital Anomalies
polycystic liver disease,,751,Other congenital anomalies of digestive system,Congenital Anomalies,Congenital Anomalies
autosomal dominant disorder,,753,Congenital anomalies of urinary system,Congenital Anomalies,Congenital Anomalies
polycystic kidney disease,,753,Congenital anomalies of urinary system,Congenital Anomalies,Congenital Anomalies
autosomal recessive polycystic kidney disease,,753,Congenital anomalies of urinary system,Congenital Anomalies,Congenital Anomalies
autosomal dominant polycystic kidney disease,,753,Congenital anomalies of urinary system,Congenital Anomalies,Congenital Anomalies
thrombocytosis,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
osteopetrosis,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
ehlers danlos syndrome,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
achondroplasia,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
craniofacial dysostosis,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
osteogenesis imperfecta,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
osteodystrophy,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
polyostotic fibrous dysplasia,,756,Other congenital musculoskeletal anomalies,Congenital Anomalies,Congenital Anomalies
ichthyosis,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
epidermolysis bullosa,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
mastocytosis,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
pachyonychia congenita,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
congenital ichthyosiform erythroderma,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
x linked hypohidrotic ectodermal dysplasia,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
ichthyosis vulgaris,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
netherton syndrome,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
lamellar ichthyosis,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
dyskeratosis congenita,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
epidermolysis bullosa dystrophica,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
port wine stain,,757,Congenital anomalies of the integument,Congenital Anomalies,Congenital Anomalies
down syndrome,,758,Chromosomal anomalies,Congenital Anomalies,Congenital Anomalies
genital system disease,,758,Chromosomal anomalies,Congenital Anomalies,Congenital Anomalies
hippel lindau syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
kartagener syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
noonan syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
cockayne syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
alagille syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
prader-willi syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
rubinstein-taybi syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
alport syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
tuberous sclerosis,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
usher syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
angelman syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
marfan syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
basal cell nevus syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
cryopyrin associated periodic syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
smith lemli opitz syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
menkes syndrome,,759,Other and unspecified congenital anomalies,Congenital Anomalies,Congenital Anomalies
urinary tract disease,,760,Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,Maternal Causes Of Perinatal Morbidity And Mortality,Certain Conditions Originating In The Perinatal Period
urinary tract infection,,760,Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,Maternal Causes Of Perinatal Morbidity And Mortality,Certain Conditions Originating In The Perinatal Period
fetal alcohol syndrome,,760,Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,Maternal Causes Of Perinatal Morbidity And Mortality,Certain Conditions Originating In The Perinatal Period
anesthesia,,763,Fetus or newborn affected by other complications of labor and delivery,Maternal Causes Of Perinatal Morbidity And Mortality,Certain Conditions Originating In The Perinatal Period
birth complication,,763,Fetus or newborn affected by other complications of labor and delivery,Maternal Causes Of Perinatal Morbidity And Mortality,Certain Conditions Originating In The Perinatal Period
asphyxia,,768,Intrauterine hypoxia and birth asphyxia,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
respiratory distress syndrome,,769,Respiratory distress syndrome,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
respiratory disease,,770,Other respiratory conditions of fetus and newborn,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
meconium aspiration syndrome,,770,Other respiratory conditions of fetus and newborn,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
neonatal respiratory distress syndrome,,770,Other respiratory conditions of fetus and newborn,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
atelectasis,,770,Other respiratory conditions of fetus and newborn,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
candida albicans infection,,771,Infections specific to the perinatal period,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
cytomegalovirus infection,,771,Infections specific to the perinatal period,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
mastitis,,771,Infections specific to the perinatal period,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
myasthenia gravis,,775,Endocrine and metabolic disturbances specific to the fetus and newborn,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
necrotizing enterocolitis,,777,Perinatal disorders of digestive system,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
periventricular leukomalacia,,779,Other and ill-defined conditions originating in the perinatal period,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
brain hypoxia-ischemia,,779,Other and ill-defined conditions originating in the perinatal period,Other Conditions Originating In The Perinatal Period,Certain Conditions Originating In The Perinatal Period
amnesia,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
pain,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
hypersomnia,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
consciousness disorder,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
insomnia,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
fatigue,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
hallucination,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
chronic fatigue syndrome,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
ehrlichia infection,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
sleep apnea,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
fever,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
hyperhidrosis,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
rocky mountain spotted fever,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
absence seizure,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
dizziness,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
apnea,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
febrile neutropenia,,780,General symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
dysuria,,781,Symptoms involving nervous and musculoskeletal systems,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
dysgeusia,,781,Symptoms involving nervous and musculoskeletal systems,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
decompression sickness,,781,Symptoms involving nervous and musculoskeletal systems,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
edema,,782,Symptoms involving skin and other integumentary tissue,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
jaundice,,782,Symptoms involving skin and other integumentary tissue,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
hyperalgesia,,782,Symptoms involving skin and other integumentary tissue,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
skin rash,,782,Symptoms involving skin and other integumentary tissue,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
hepatic edema,,782,Symptoms involving skin and other integumentary tissue,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
weight loss,,783,"Symptoms concerning nutrition, metabolism, and development",Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
headache,,784,Symptoms involving head and neck,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
dysphonia,,784,Symptoms involving head and neck,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
tourette syndrome,,784,Symptoms involving head and neck,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
hemorrhagic shock,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
shock,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
cardiovascular inflammation,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
endotoxic shock,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
tachycardia,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
lymphadenopathy,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
castlemans disease,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
serratia infection,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
cardiogenic shock,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
palpitation,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
gangrene,,785,Symptoms involving cardiovascular system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
cough,,786,Symptoms involving respiratory system and other chest symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
snoring,,786,Symptoms involving respiratory system and other chest symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
cheynes stokes breathing,,786,Symptoms involving respiratory system and other chest symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
respiratory insufficiency,,786,Symptoms involving respiratory system and other chest symptoms,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
diarrhea,,787,Symptoms involving digestive system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
emesis,,787,Symptoms involving digestive system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
nausea,,787,Symptoms involving digestive system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
flatulence,,787,Symptoms involving digestive system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
dysphagia,,787,Symptoms involving digestive system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
fecal incontinence,,787,Symptoms involving digestive system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
chemotherapy induced nausea and vomiting,,787,Symptoms involving digestive system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
urinary incontinence,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
uremia,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
diuresis,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
pollakiuria,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
urinary dysfunction,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
clostridiaceae infection,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
enuresis,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
urge urinary incontinence,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
stress urinary incontinence,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
nocturia,,788,Symptoms involving urinary system,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
